No,Title,URL
1,29歳時点での通算得点,https://www.youtube.com/watch?v=JCeyLAbWUnQ
2,30歳以降でのシーズン得点記録,https://www.youtube.com/watch?v=69l70EPWejk
3,NBAデビューから何試合目で40得点以上したか,https://www.youtube.com/watch?v=gCcqc8Q5qjA
4,トリプルダブル時の勝率,https://www.youtube.com/watch?v=i9zevH3jvTA
5,39歳時点での通算得点,https://www.youtube.com/watch?v=wK9V5BdLxBE
6,【NBA】ドラフト9位選手達の得点ペース,https://www.youtube.com/watch?v=BvKkF8ShZbg
7,通算1万得点達成試合数,https://www.youtube.com/watch?v=vm26oX3K_ls
8,2桁得点の連続試合記録,https://www.youtube.com/watch?v=yWY6H-MPzc8
9,シーズン別プラスマイナスワーストプレイヤー,https://www.youtube.com/watch?v=hkw1oqLeHTw
10,初50得点時の若さ,https://www.youtube.com/watch?v=6o5dXD-JUxk
11,30歳以降の30得点以上回数,https://www.youtube.com/watch?v=Yn5YzrFahMk
12,NBAデビュー戦10試合での得点ランキング,https://www.youtube.com/watch?v=NRFuzl_nVHc
13,30歳以降の通算得点,https://www.youtube.com/watch?v=obq577UdtvU
14,コービーへのシーズンアシスト数,https://www.youtube.com/watch?v=SKC3JRXTIvs
15,30歳以降の40得点以上回数,https://www.youtube.com/watch?v=cFK5uLxSUqg
16,ヤニスへのシーズンアシスト数,https://www.youtube.com/watch?v=XPlk8FsjaJc
17,初トリプルダブル時の若さランキング,https://www.youtube.com/watch?v=U6sUodbhpYw
18,30得点以上連続試合記録,https://www.youtube.com/watch?v=nCulmRp-gW4
19,通算1000オフェンスリバウンド達成試合数,https://www.youtube.com/watch?v=I0gUD8iMm1Y
20,1試合に1本はスティールするぜ確率,https://www.youtube.com/watch?v=bmeXg9jDm6A
21,通算500勝達成試合数,https://www.youtube.com/watch?v=XuWFiwFWVIQ
22,35歳時点での通算得点,https://www.youtube.com/watch?v=JAVxFvahik0
23,30歳以降の3P成功数,https://www.youtube.com/watch?v=uO7G8Xn5el4
24,シーズン別3P成功数チャンプ,https://www.youtube.com/watch?v=jLZyD9XUcMM
25,37歳時点での通算得点,https://www.youtube.com/watch?v=Rnfyy_9_B4Q
26,38歳時点での通算得点,https://www.youtube.com/watch?v=xDwdCgM4LHk
27,シーズン別2P成功数チャンプ,https://www.youtube.com/watch?v=6soEOTAPgGo
28,デビュー50戦でのリバウンドランキング,https://www.youtube.com/watch?v=QL-OVMJU5oQ
29,シーズン別30得点以上回数,https://www.youtube.com/watch?v=zc7P6ZK7qGs
30,35歳時点での通算3P,https://www.youtube.com/watch?v=XKH7tqdtYAc
31,【NBA】ケビンデュラントにアシストしてきた選手たちトップ10  Top 10 players who assisted KevinDurant,https://www.youtube.com/watch?v=LV-SOVJ9Rmo
32,ワタナビにアシストした選手たち,https://www.youtube.com/watch?v=GHNEANOdohU
33,ベンチ出場からのブロック数,https://www.youtube.com/watch?v=dRPMtDVgm2Y
34,28歳時点での通算得点,https://www.youtube.com/watch?v=2IlpRU-hbu8
35,キャリア最後の50得点の年齢,https://www.youtube.com/watch?v=B64VyaOfRjA
